t, E, sx, sy, vx, vy, ax, ay
0.036999993, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.03799999, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.03899999, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.039999988, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.040999986, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.041999985, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.042999983, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.04399998, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.04499998, 2000000.0, 500.0, 300.0, 2000.0, 0.0,0.0, 0.0
0.045999978, -2489748.0, 502.0, 300.0, 2000.0, 22.45,0.0, 22450.0
0.046999976, -2489216.5, 504.0, 300.02246, 1999.7755, 44.896637,-224.46637, 22446.637
0.047999974, -2488685.8, 505.9998, 300.06735, 1999.3267, 67.33821,-448.88193, 22441.576
0.048999973, -2488154.0, 507.9991, 300.1347, 1998.6534, 89.77303,-673.2474, 22434.818
0.04999997, -2487623.5, 509.99777, 300.2245, 1997.7559, 112.1994,-897.55994, 22426.367
0.05099997, -2487092.5, 511.9955, 300.3367, 1996.634, 134.61562,-1121.8203, 22416.219
0.051999968, -2486562.0, 513.9921, 300.4713, 1995.288, 157.01999,-1346.0256, 22404.367
0.052999966, -2486031.0, 515.9874, 300.62833, 1993.7178, 179.41081,-1570.176, 22390.816
0.053999964, -2485500.0, 517.98114, 300.80774, 1991.9235, 201.78638,-1794.2753, 22375.562
0.054999962, -2484968.5, 519.9731, 301.00952, 1989.9052, 224.14497,-2018.3163, 22358.594
0.05599996, -2484438.0, 521.963, 301.23367, 1987.6628, 246.4849,-2242.3035, 22339.916
0.05699996, -2483906.8, 523.9507, 301.48016, 1985.1967, 268.80444,-2466.2336, 22319.533
0.057999957, -2483375.0, 525.93585, 301.74896, 1982.5066, 291.10187,-2690.102, 22297.428
0.058999956, -2482844.5, 527.91833, 302.04007, 1979.5927, 313.3755,-2913.9062, 22273.605
0.059999954, -2482312.5, 529.89795, 302.35345, 1976.455, 335.62354,-3137.6487, 22248.057
0.060999952, -2481781.0, 531.8744, 302.6891, 1973.0936, 357.8443,-3361.332, 22220.775
0.06199995, -2481249.0, 533.8475, 303.04694, 1969.5087, 380.03607,-3584.9458, 22191.764
0.06299995, -2480717.8, 535.81696, 303.42697, 1965.7002, 402.19708,-3808.493, 22161.014
0.06399995, -2480185.2, 537.78265, 303.82916, 1961.6682, 424.3256,-4031.9675, 22128.518
0.06499995, -2479652.5, 539.7443, 304.25348, 1957.4128, 446.41986,-4255.3735, 22094.27
0.065999955, -2479119.0, 541.7017, 304.6999, 1952.9341, 468.47812,-4478.703, 22058.26
0.06699996, -2478585.5, 543.65466, 305.16837, 1948.2322, 490.4986,-4701.9556, 22020.49
0.06799996, -2478051.8, 545.6029, 305.65887, 1943.307, 512.47955,-4925.1304, 21980.955
0.06899996, -2477518.2, 547.5462, 306.17136, 1938.1588, 534.4192,-5148.2236, 21939.646
0.06999996, -2476984.0, 549.4844, 306.70578, 1932.7876, 556.31573,-5371.2295, 21896.555
0.070999965, -2476449.0, 551.4172, 307.2621, 1927.1935, 578.1674,-5594.1465, 21851.67
0.07199997, -2475913.2, 553.34436, 307.84024, 1921.3765, 599.9724,-5816.9717, 21804.99
0.07299997, -2475377.5, 555.26575, 308.44022, 1915.3368, 621.72894,-6039.697, 21756.502
0.07399997, -2474841.5, 557.1811, 309.06195, 1909.0745, 643.4352,-6262.325, 21706.207
0.07499997, -2474304.5, 559.09015, 309.70538, 1902.5896, 665.0893,-6484.848, 21654.086
0.075999975, -2473767.2, 560.99274, 310.37048, 1895.8823, 686.68945,-6707.26, 21600.14
0.07699998, -2473229.5, 562.8886, 311.05716, 1888.9528, 708.2338,-6929.5596, 21544.354
